<sentence_id=1>
1	rAma	राम	NNP	7	k1	9	begin
2	,	,	SYM	1	rsym	-	-
3	SyAma	श्याम	NNP	7	k1	10	begin
4	Ora	और	CC	7	k1	-	-
5	mohana	मोहन	NNP	7	k1	11	begin
6	xillI	दिल्ली	NNP	7	k2p	12	begin
7	jAeMge	जाएंगे	VM	0	main	-	-
8	.	।	SYM	7	rsym	-	-
9	[ne_1]	per_1	-	-	-	13	op1
10	[ne_2]	per_2	-	-	-	13	op2
11	[ne_3]	per_3	-	-	-	13	op3
12	[ne_4]	loc_1	-	-	-	-	-
13	[conj_1]	[conj_1]	-	-	-	-	-
</sentence_id>


<sentence_id=2>
1	mohana	मोहन	NNPC	2	pof__cn	7	begin
2	lAla	लाल	NNP	4	k1	7	inside
3	bAjAra	बाजार	NNP	4	k2p	-	-
4	gayA	गया	VM	0	main	-	-
5	WA	था	VAUX	4	lwg__vaux	-	-
6	.	।	SYM	4	rsym	-	-
7	[ne_1]	per_1	-	-	-	-	-
</sentence_id>


<sentence_id=3>
1	mEM	मैं	PRP	6	k1	-	-
2	subaha	सुबह	NN	6	k7t	8	start
3	se	से	PSP	2	lwg__psp	-	-
4	rAwa	रात	NN	6	k7t	8	end
5	waka	तक	PSP	4	lwg__psp	-	-
6	paDZUMgA	पढ़ूंगा	VM	0	main	-	-
7	.	।	SYM	6	rsym	-	-
8	[span_1]	[span_1]	-	-	-	-	-
</sentence_id>


<sentence_id=4>
1	rAma	राम	NNP	6	k1	8	begin
2	Ora	और	CC	6	k1	-	-
3	mohana	मोहन	NNP	6	k1	9	begin
4	kala	कल	NN	6	k7t	-	-
5	skUla	स्कूल	NN	6	k2p	-	-
6	jAyeMge	जायेंगे	VM	0	main	-	-
7	.	।	SYM	6	rsym	-	-
8	[ne_1]	per_1	-	-	-	10	op1
9	[ne_2]	per_2	-	-	-	10	op2
10	[conj_1]	[conj_1]	-	-	-	-	-
</sentence_id>


<sentence_id=5>
1	sIwA	सीता	NNP	5	k1	8	begin
2	Pala	फल	NN	5	k2	9	op1
3	yA	या	CC	5	k2	-	-
4	sabjI	सब्जी	NN	5	k2	9	op2
5	le	ले	VM	0	main	-	-
6	AegI	आएगी	VAUX	5	lwg__vaux	-	-
7	.	।	SYM	5	rsym	-	-
8	[ne_1]	per_1	-	-	-	-	-
9	[disjunct_1]	[disjunct_1]	-	-	-	-	-
</sentence_id>


<sentence_id=6>
1	ayoXyA	अयोध्या	NNP	3	r6	7	begin
2	ke	के	PSP	1	lwg__psp	-	-
3	rAjA	राजा	NN	4	mod	-	-
4	rAma	राम	NNP	5	k1	-	-
5	hEM	हैं	VM	0	main	-	-
6	.	।	SYM	5	rsym	-	-
7	[ne_1]	loc_1	-	-	-	-	-
</sentence_id>


<sentence_id=7>
1	saMyukwa	संयुक्त	NNPC	3	pof__cn	14	begin
2	rARtra	राष्ट्र	NNPC	3	pof__cn	14	inside
3	saMGa	संघ	NNP	12	k1	-	-
4	ne	ने	PSP	3	lwg__psp	-	-
5	rUsa	रूस	NNP	12	k4	15	begin
6	ko	को	PSP	5	lwg__psp	-	-
7	SAMwi	शांति	NN	9	k2	-	-
