<sentence_id=sept-7-2022ICF-HD_source_hin_041>
1	nijawA	निजता	NN	11	r6	20	op1
2	,	,	SYM	1	rsym	-	-
3	vyakwigawa	व्यक्तिगत	JJ	5	mod	-	-
4	svAsWya	स्वास्थ्य	NNC	5	pof__cn	19	mod
5	jAnakArI	जानकारी	NN	7	r6	19	head
6	ke	के	PSP	5	lwg__psp	-	-
7	upayoga	उपयोग	NN	11	r6	20	op2
8	Ora	और	CC	11	r6	-	-
9	gopanIyawA	गोपनीयता	NN	11	r6	20	op3
10	ke	के	PSP	9	lwg__psp	-	-
11	aXikaraNa	अधिकरण	NN	17	k7	-	-
12	ke	के	PSP	11	lwg__psp	-	-
13	bAre	बारे	PSP	11	lwg__psp	-	-
14	meM	में	PSP	11	lwg__psp	-	-
15	kyA	क्या	WQ	16	mod__wq	-	-
16	nIwi	नीति	NN	17	k1	-	-
17	hE	है	VM	0	main	-	-
18	?	?	SYM	17	rsym	-	-
19	[nc_1]	[nc_1]	-	7	r6	-	-
20	[conj_1]	[conj_1]	-	11	r6	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_042>
1	hama	हम	PRP	13	k1	-	-
2	ApakI	आपकी	PRP	4	r6	-	-
3	vyakwigawa	व्यक्तिगत	JJ	4	mod	-	-
4	jAnakArI	जानकारी	NN	9	k2	-	-
5	ko	को	PSP	4	lwg__psp	-	-
6	nijI	निजी	JJ	9	k2s	16	op1
7	Ora	और	CC	9	k2s	-	-
8	gopanIya	गोपनीय	JJ	9	k2s	16	op2
9	raKane	रखने	VM	12	k2	-	-
10	kI	की	PSP	9	lwg__psp	-	-
11	pUrI	पूरी	JJ	12	k2	-	-
12	koSiSa	कोशिश	NN	13	pof	15	kriyAmUla
13	kareMge	करेंगे	VM	0	main	15	verbalizer
14	.	।	SYM	13	rsym	-	-
15	[cp_1]	[cp_1]	-	0	main	-	-
16	[conj_1]	[conj_1]	-	9	k2s	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_043>
1	kAnUnana	कानूनन	RB	3	krvn	-	-
2	AvaSyaka	आवश्यक	JJ	3	pof	15	kriyAmUla
3	hone	होने	VM	10	rblsk	15	verbalizer
4	para	पर	PSP	3	lwg__psp	-	-
5	ApakI	आपकी	PRP	7	r6	-	-
6	vyakwigawa	व्यक्तिगत	JJ	7	mod	-	-
7	jAnakArI	जानकारी	NN	9	k2	-	-
8	kA	का	PSP	7	lwg__psp	-	-
9	KulAsA	खुलासा	NN	10	pof	16	kriyAmUla
10	kiyA	किया	VM	0	main	16	verbalizer
11	jA	जा	VAUX	10	lwg__vaux	16	verbalizer
12	sakawA	सकता	VAUX	11	lwg__vaux_cont	16	verbalizer
13	hE	है	VAUX	12	lwg__vaux_cont	16	verbalizer
14	.	।	SYM	10	rsym	-	-
15	[cp_1]	[cp_1]	-	10	rblsk	-	-
16	[cp_2]	[cp_2]	-	0	main	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_044a>
1	isa	इस	DEM	2	dem	-	-
2	aXyayana	अध्ययन	NN	4	r6	-	-
3	ke	के	PSP	2	lwg__psp	-	-
4	pariNAma	परिणाम	NN	12	k2	24	op1
5	anya	अन्य	JJ	6	mod	-	-
6	dOYktaroM	डॉक्टरों	NN	12	k2	24	op2
7	Ora	और	CC	12	k2	-	-
8	svAsWya	स्वास्थ्य	NNC	9	pof__cn	22	mod
9	peSevaroM	पेशेवरों	NN	12	k2	22	head
10	ko	को	PSP	9	lwg__psp	-	-
11	sUciwa	सूचित	JJ	12	pof	23	kriyAmUla
12	karane	करने	VM	17	rt	23	verbalizer
13	ke	के	PSP	12	lwg__psp	-	-
14	lie	लिए	PSP	12	lwg__psp	-	-
15	bETakoM	बैठकों	NN	17	k7	-	-
16	meM	में	PSP	15	lwg__psp	-	-
17	xiKAe	दिखाए	VM	0	main	-	-
18	jA	जा	VAUX	17	lwg__vaux	-	-
19	sakawe	सकते	VAUX	18	lwg__vaux_cont	-	-
20	hEM	हैं	VAUX	19	lwg__vaux_cont	-	-
21	.	।	SYM	17	rsym	-	-
22	[nc_1]	[nc_1]	-	12	k2	24	op3
23	[cp_1]	[cp_1]	-	17	rt	-	-
24	[conj_1]	[conj_1]	-	12	k2	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_044b>
1	vaha	वह	PRP	5	k1	-	-
2	pawrikAoM	पत्रिकाओं	NN	5	k7	-	-
3	meM	में	PSP	2	lwg__psp	-	-
4	prakASiwa	प्रकाशित	JJ	5	pof	10	kriyAmUla
5	kie	किए	VM	0	main	10	verbalizer
6	jA	जा	VAUX	5	lwg__vaux	10	verbalizer
7	sakawe	सकते	VAUX	6	lwg__vaux_cont	10	verbalizer
8	hEM	हैं	VAUX	7	lwg__vaux_cont	10	verbalizer
9	.	।	SYM	5	rsym	-	-
10	[cp_1]	[cp_1]	-	0	main	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_045>
1	hama	हम	PRP	16	k1	-	-
2	isa	इस	DEM	3	dem	-	-
3	aXyayana	अध्ययन	NN	5	k5	-	-
4	se	से	PSP	3	lwg__psp	-	-
5	hone	होने	VM	9	mod	-	-
6	vAle	वाले	PSP	5	lwg__psp	-	-
7	kisI	किसी	PRP	9	mod	-	-
8	BI	भी	RP	7	lwg__rp	-	-
9	prakASana	प्रकाशन	NN	16	k2	19	op1
10	yA	या	CC	16	k2	-	-
11	praswuwi	प्रस्तुति	NN	16	k2	19	op2
12	meM	में	PSP	11	lwg__psp	-	-
13	ApakI	आपकी	PRP	14	r6	-	-
14	pahacAna	पहचान	NN	16	k2	19	op3
15	gupwa	गुप्त	JJ	16	pof	18	kriyAmUla
16	raKeMge	रखेंगे	VM	0	main	18	verbalizer
17	.	।	SYM	16	rsym	-	-
18	[cp_1]	[cp_1]	-	0	main	-	-
19	[disjunct_1]	[disjunct_1]	-	16	k2	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_046a>
1	ve	वे	PRP	22	k1	29	op1
2	vyakwi	व्यक्ति	NN	22	k1	29	op2
3	yA	या	CC	22	k1	-	-
4	saMgaTana	संगठन	NN	22	k1	29	op3
5	,	,	SYM	4	rsym	-	-
6	isa	इस	DEM	7	dem	-	-
7	SoXa	शोध	NN	10	k2	-	-
8	ko	को	PSP	7	lwg__psp	-	-
9	saMcAliwa	संचालित	JJ	10	pof	27	kriyAmUla
10	karane	करने	VM	22	rt	27	verbalizer
11	ke	के	PSP	10	lwg__psp	-	-
12	lie	लिए	PSP	10	lwg__psp	-	-
13	apane	अपने	PRP	15	r6	-	-
14	SoXa	शोध	NNC	15	pof__cn	26	mod
15	rikOYrda	रिकॉर्ड	NN	17	k2	26	head
16	kA	का	PSP	15	lwg__psp	-	-
17	nirIkRaNa	निरीक्षण	NN	18	ccof	-	-
18	Ora	और	CC	20	ccof	-	-
19	/	/	SYM	18	rsym	-	-
20	yA	या	CC	22	pof	28	kriyAmUla
21	kOYpI	कॉपी	NN	20	ccof	30	op1
22	kara	कर	VM	0	main	28	verbalizer
23	sakawe	सकते	VAUX	22	lwg__vaux	28	verbalizer
24	hEM	हैं	VAUX	23	lwg__vaux_cont	28	verbalizer
25	.	।	SYM	22	rsym	-	-
26	[nc_1]	[nc_1]	-	17	k2	-	-
27	[cp_1]	[cp_1]	-	22	rt	-	-
28	[cp_2]	[cp_2]	-	0	main	-	-
29	[disjunct_1]	[disjunct_1]	-	22	k1	-	-
30	[conj_1]	[conj_1]	-	20	ccof	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_046b>
1	detA	डेटा	NN	3	k2	-	-
2	kA	का	PSP	1	lwg__psp	-	-
3	viSleRaNa	विश्लेषण	NN	4	pof	10	kriyAmUla
4	karane	करने	VM	7	k7	10	verbalizer
5	meM	में	PSP	4	lwg__psp	-	-
6	SAmila	शामिल	JJ	7	pof	11	kriyAmUla
7	howe	होते	VM	0	main	11	verbalizer
8	hEM	हैं	VAUX	7	lwg__vaux	11	verbalizer
9	.	।	SYM	7	rsym	-	-
10	[cp_1]	[cp_1]	-	7	k7	-	-
11	[cp_2]	[cp_2]	-	0	main	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_046c>
1	detA	डेटा	NN	3	r6	-	-
2	kI	की	PSP	1	lwg__psp	-	-
3	guNavawwA	गुणवत्ता	NN	5	k2	-	-
4	kA	का	PSP	3	lwg__psp	-	-
5	ASvAsana	आश्वासन	NN	6	pof	9	kriyAmUla
6	xewe	देते	VM	0	main	9	verbalizer
7	hEM	हैं	VAUX	6	lwg__vaux	9	verbalizer
8	.	।	SYM	6	rsym	-	-
9	[cp_1]	[cp_1]	-	0	main	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_047F>
1	sIemasI	सीएमसी	NNP	8	mod	10	begin
2	,	,	SYM	1	rsym	-	-
3	vellora	वेल्लोर	NNP	8	k7p	11	begin
4	meM	में	PSP	3	lwg__psp	-	-
5	anusaMXAna	अनुसंधान	NNC	6	pof__cn	12	mod
6	tIma	टीम	NN	8	r6	12	head
7	ke	के	PSP	6	lwg__psp	-	-
8	saxasya	सदस्य	NN	0	main	-	-
9	.	।	SYM	8	rsym	-	-
10	[ne_1]	org_1	-	8	mod	-	-
11	[ne_2]	loc_1	-	8	k7p	-	-
12	[nc_1]	[nc_1]	-	8	r6	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_048F>
1	cikiwsA	चिकित्सा	NNC	2	pof__cn	19	mod
2	karmacArI	कर्मचारी	NN	17	k1	19	head
3	jo	जो	PRP	17	k1	-	-
4	isa	इस	DEM	5	dem	-	-
5	SoXa	शोध	NN	7	intf	-	-
6	se	से	PSP	5	lwg__psp	-	-
7	saMbaMXiwa	संबंधित	JJ	9	mod	-	-
8	ApakI	आपकी	PRP	9	r6	-	-
9	xeKaBAla	देखभाल	NN	17	k7	-	-
10	meM	में	PSP	9	lwg__psp	-	-
11	prawyakRa	प्रत्यक्ष	JJ	14	mod	20	op1
12	yA	या	CC	14	mod	-	-
13	aprawyakRa	अप्रत्यक्ष	JJ	14	mod	20	op2
14	rUpa	रूप	NN	17	krvn	-	-
15	se	से	PSP	14	lwg__psp	-	-
16	SAmila	शामिल	JJ	17	k1s	-	-
17	hEM	हैं	VM	0	main	-	-
18	.	।	SYM	17	rsym	-	-
19	[nc_1]	[nc_1]	-	17	k1	-	-
20	[disjunct_1]	[disjunct_1]	-	14	mod	-	-
</sentence_id>


<sentence_id=sept-7-2022ICF-HD_source_hin_049F>
1	jo	जो	DEM	2	dem	-	-
2	loga	लोग	NN	15	k1	-	-
3	sIemasI	सीएमसी	NNP	15	k1	18	begin
4	,	,	SYM	3	rsym	-	-
